Real,Imaginary
-0.00759907,-0.0177617
-0.00759907,-0.0176701
-0.00741596,-0.0179143
-0.00735492,-0.0177617
-0.00790425,-0.0177617
-0.00775166,-0.0180058
-0.00796529,-0.0176396
-0.00778218,-0.0176701
-0.00756855,-0.0177006
-0.00756855,-0.0177006
-0.00775166,-0.0178838
-0.00778218,-0.0176701
-0.00778218,-0.0177922
-0.0076601,-0.0179143
-0.0078127,-0.0179143
-0.0078127,-0.0179143
-0.00762959,-0.0178532
-0.00769062,-0.0176091
-0.00796529,-0.0177006
-0.00772114,-0.0174565
-0.00772114,-0.0176701
-0.00762959,-0.0178532
-0.00759907,-0.0177617
-0.00787373,-0.0177922
-0.00769062,-0.0176091
-0.00772114,-0.0176396
-0.00756855,-0.0178227
-0.00753803,-0.0176396
-0.00762959,-0.0177312
-0.00744648,-0.0176091
-0.00747699,-0.0177922
-0.00759907,-0.0177312
-0.00756855,-0.0177006
-0.00784322,-0.0175175
-0.00775166,-0.0177006
-0.00787373,-0.0176701
-0.00769062,-0.0177617
-0.0076601,-0.0175175
-0.0076601,-0.0177312
-0.00769062,-0.0178838
-0.00775166,-0.0175175
-0.00775166,-0.0179143
-0.00769062,-0.0177922
-0.00793477,-0.0173955
-0.00762959,-0.0177617
-0.00750751,-0.0176396
-0.00756855,-0.017426
-0.00775166,-0.0178532
-0.00756855,-0.0177617
-0.0076601,-0.0172429
-0.00787373,-0.0176091
-0.00753803,-0.0178227
-0.00756855,-0.0177922
-0.0078127,-0.0177312
-0.00762959,-0.0176396
-0.00793477,-0.0176091
-0.00793477,-0.0178532
-0.00808736,-0.0176396
-0.00802633,-0.0175175
-0.00759907,-0.0178532
-0.00802633,-0.017548
-0.00784322,-0.0175786
-0.00762959,-0.0177922
-0.0078127,-0.0177922
-0.00805684,-0.0175175
-0.00784322,-0.0177922
-0.00753803,-0.0175786
-0.00756855,-0.0177617
-0.00793477,-0.0177922
-0.00790425,-0.017487
-0.00775166,-0.017487
-0.00799581,-0.0175175
-0.00775166,-0.0177922
-0.00808736,-0.0177006
-0.00796529,-0.0175175
-0.00778218,-0.0173649
-0.00784322,-0.0177006
-0.0078127,-0.0175175
-0.00787373,-0.017426
-0.00802633,-0.0177006
-0.00793477,-0.017487
-0.00799581,-0.0177006
-0.00793477,-0.0176701
-0.00772114,-0.0173344
-0.00787373,-0.017426
-0.00805684,-0.0176396
-0.0076601,-0.0177006
-0.00790425,-0.0174565
-0.0076601,-0.0177312
-0.0076601,-0.0175786
-0.00769062,-0.0176091
-0.00784322,-0.0173955
-0.00796529,-0.0177922
-0.00753803,-0.0179143
-0.0078127,-0.0173955
-0.00787373,-0.0176091
-0.00796529,-0.0177312
-0.00775166,-0.017548
-0.00802633,-0.0176701
-0.00799581,-0.017487
-0.0076601,-0.0177312
-0.00778218,-0.017426
-0.0078127,-0.0176091
-0.00784322,-0.0173955
-0.00796529,-0.0175786
-0.00796529,-0.0176091
-0.00796529,-0.017487
-0.00790425,-0.0176091
-0.00775166,-0.0175786
-0.00778218,-0.0177006
-0.0076601,-0.0175175
-0.00769062,-0.0177312
-0.00790425,-0.0178838
-0.00778218,-0.0175786
-0.00762959,-0.0176701
-0.00775166,-0.0177006
-0.00775166,-0.0175175
-0.00778218,-0.0174565
-0.00772114,-0.0173955
-0.00778218,-0.017487
-0.00756855,-0.0175175
-0.00772114,-0.0177312
-0.00769062,-0.0172734
-0.00769062,-0.0174565
-0.00762959,-0.0173955
-0.00805684,-0.0176091
-0.00790425,-0.017548
-0.00762959,-0.017487
-0.00762959,-0.0172734
-0.00784322,-0.0173955
-0.00775166,-0.017548
-0.00759907,-0.0174565
-0.00796529,-0.0175175
-0.00793477,-0.0173039
-0.00772114,-0.0177922
-0.00784322,-0.0177006
-0.00775166,-0.017487
-0.00790425,-0.0177617
-0.00787373,-0.0173344
-0.00808736,-0.0176091
-0.00790425,-0.0173039
-0.00799581,-0.017487
-0.00808736,-0.0175175
-0.00805684,-0.0177006
-0.00796529,-0.0175175
-0.00784322,-0.017487
-0.00787373,-0.0176091
-0.00750751,-0.017426
-0.00784322,-0.0174565
-0.00787373,-0.0172734
-0.00778218,-0.0176701
-0.00796529,-0.0177312
-0.00808736,-0.0173039
-0.00778218,-0.0173955
-0.00796529,-0.0176701
-0.00778218,-0.017487
-0.00811788,-0.0176091
-0.00796529,-0.0176701
-0.00790425,-0.017426
-0.00796529,-0.0173039
-0.00799581,-0.0172429
-0.00769062,-0.0173344
-0.00793477,-0.0176396
-0.00802633,-0.0173344
-0.00799581,-0.0171818
-0.00784322,-0.017426
-0.00820944,-0.0170598
-0.00805684,-0.0173039
-0.00817892,-0.0173649
-0.00802633,-0.0173344
-0.00759907,-0.0172734
-0.00823995,-0.0173344
-0.00802633,-0.017487
-0.0081484,-0.017487
-0.00817892,-0.0174565
-0.00805684,-0.0172734
-0.00799581,-0.017487
-0.0078127,-0.0173344
-0.00830099,-0.0173955
-0.00805684,-0.0173039
-0.0078127,-0.0174565
-0.00799581,-0.017426
-0.00778218,-0.0172734
-0.0081484,-0.0177312
-0.00796529,-0.0175175
-0.00808736,-0.0173344
-0.00796529,-0.0175786
-0.00802633,-0.0172123
-0.00830099,-0.0173955
-0.0081484,-0.0173649
-0.00793477,-0.017487
-0.00805684,-0.017487
-0.00799581,-0.0172734
-0.00817892,-0.017487
-0.00799581,-0.0172734
-0.00823995,-0.0171818
-0.00802633,-0.0172734
-0.00805684,-0.0173039
-0.00851462,-0.0173039
-0.00811788,-0.0175786
-0.00836203,-0.0172429
-0.00799581,-0.0172734
-0.00799581,-0.0170598
-0.00827047,-0.017426
-0.00808736,-0.0172734
-0.00793477,-0.0172123
-0.00808736,-0.017487
-0.00790425,-0.0172734
-0.00805684,-0.017487
-0.00830099,-0.0173649
-0.00823995,-0.0173039
-0.00811788,-0.0171208
-0.00808736,-0.0171818
-0.00820944,-0.0172734
-0.00808736,-0.0173649
-0.00808736,-0.0172429
-0.00796529,-0.0173344
-0.00827047,-0.0176091
-0.00820944,-0.0171208
-0.00808736,-0.0171513
-0.00808736,-0.0173039
-0.00796529,-0.0172123
-0.00796529,-0.0173039
-0.00823995,-0.017487
-0.00830099,-0.0172734
-0.00830099,-0.0172123
-0.00823995,-0.0172123
-0.00796529,-0.0173344
-0.00817892,-0.0173649
-0.00808736,-0.0171513
-0.00811788,-0.0172734
-0.00827047,-0.0170292
-0.00823995,-0.0173039
-0.00820944,-0.0173039
-0.00836203,-0.0172734
-0.00845358,-0.0175786
-0.00830099,-0.0173039
-0.00842306,-0.0173649
-0.00820944,-0.0171513
-0.00820944,-0.0171818
-0.00811788,-0.0173039
-0.00830099,-0.0172123
-0.00817892,-0.0175175
-0.00805684,-0.0176091
-0.00842306,-0.017426
-0.00820944,-0.0173955
-0.00799581,-0.0171513
-0.00833151,-0.0173649
-0.00823995,-0.0173039
-0.0081484,-0.0173039
-0.00836203,-0.017426
-0.00827047,-0.0172429
-0.0081484,-0.0173344
-0.0084841,-0.0174565
-0.0081484,-0.0174565
-0.00845358,-0.0170903
-0.00833151,-0.017426
-0.00823995,-0.0175786
-0.00830099,-0.0170903
-0.00823995,-0.0171513
-0.0084841,-0.0172734
-0.00823995,-0.0173955
