Real,Imaginary
0.00112918,-0.024903
-0.0190434,-0.0105899
-0.0122684,-0.0153507
-0.00320443,-0.0215765
-0.0244452,-0.00671404
0.000823995,-0.0245062
-0.019196,-0.0106204
-0.0121768,-0.0155644
-0.0033265,-0.0218206
-0.0245673,-0.00671404
0.00091555,-0.0247809
-0.019074,-0.010773
-0.0123294,-0.0152287
-0.00369272,-0.0217291
-0.0246588,-0.00686663
0.00091555,-0.0249335
-0.0191655,-0.0106204
-0.0122684,-0.0153202
-0.00326546,-0.0217901
-0.0246588,-0.00668352
0.00054933,-0.0247199
-0.0189824,-0.0105288
-0.0122379,-0.0154728
-0.00354013,-0.0217901
-0.0245978,-0.00656144
0.00054933,-0.024964
-0.0192571,-0.0105899
-0.0122684,-0.0155644
-0.00369272,-0.0220037
-0.0246893,-0.00671404
0.000610367,-0.0250556
-0.019074,-0.0106204
-0.0122379,-0.0153202
-0.00354013,-0.0219732
-0.0246283,-0.00671404
0.000823995,-0.0249945
-0.019074,-0.0107119
-0.0123599,-0.0153507
-0.00372324,-0.0218511
-0.0245978,-0.00668352
0.000671404,-0.024903
-0.0194402,-0.0104373
-0.0123599,-0.0152287
-0.00350961,-0.0216375
-0.0248419,-0.00634782
0.000518812,-0.0246588
-0.0191045,-0.0105288
-0.0123904,-0.0152897
-0.0039979,-0.0219427
-0.0246893,-0.00646989
0.000122073,-0.0248419
-0.0192876,-0.0108035
-0.0126346,-0.0153202
-0.00396739,-0.0220037
-0.0247809,-0.00680559
0.00054933,-0.0249335
-0.019135,-0.0105288
-0.0123294,-0.0152897
-0.00350961,-0.0216375
-0.0244452,-0.00634782
0.000762959,-0.0246283
-0.0193181,-0.0106814
-0.0124515,-0.0155033
-0.00378427,-0.0219427
-0.0251166,-0.00671404
0.000457775,-0.0244452
-0.0195623,-0.0105593
-0.0125736,-0.0155033
-0.00369272,-0.0218511
-0.0248114,-0.00692766
0.000518812,-0.0247504
-0.0194402,-0.0108035
-0.0126041,-0.0154118
-0.00369272,-0.021668
-0.025025,-0.00659196
0.000274665,-0.0245062
-0.0195012,-0.0104983
-0.0125125,-0.0152897
-0.0036622,-0.0220037
-0.025025,-0.00686663
0.000488294,-0.0244757
-0.0196538,-0.0106814
-0.0125736,-0.0153507
-0.00354013,-0.0217291
-0.0251471,-0.00680559
0.000579849,-0.0243842
-0.0197454,-0.0106814
-0.0126956,-0.0152592
-0.00363168,-0.0214849
-0.0251776,-0.00720233
0.000396738,-0.0243536
-0.0198674,-0.0106814
-0.012543,-0.0153812
-0.00378427,-0.0213628
-0.0254523,-0.00677507
0.00054933,-0.024201
-0.0198064,-0.0108035
-0.0128482,-0.0151981
-0.00357065,-0.0216375
-0.0252997,-0.00717181
0.000610367,-0.0240485
